,Close_^DJI,Close_^FCHI,Close_^FTSE,Close_^GDAXI,Close_^GSPTSE,Close_^HSI,Close_^IXIC,Close_^N225,Volume_^DJI,Volume_^FCHI,Volume_^FTSE,Volume_^GDAXI,Volume_^GSPTSE,Volume_^HSI,Volume_^IXIC,Volume_^N225,SP500_Open,SP500_Close,SP500_Volume,SP500_Wk_Vol,MORTGAGE30US,FF,WGS10YR,WAAA,WTB3MS,ICSA,WGS1YR,WGS2YR,NFCI,WTREGEN,WGS5YR,WBAA,DPSACBW027SBOG,WCOILWTICO,WGS30YR,WRESBAL,WGS20YR,MORTGAGE15US,WPRIME,CCSA,TOTCI
1992-01-06,3200.10009765625,1787.5999755859375,2493.199951171875,1604.68994140625,3524.800048828125,4307.0,597.9000244140625,23801.1796875,27280000.0,0.0,0.0,0.0,219900.0,0.0,237720000.0,0.0,419.30999755859375,417.9599914550781,251210000.0,20.480010986328125,8.24,4.19,6.78,8.17,3.87,432000.0,4.14,4.79,-0.68234,13.005,5.98,9.11,2452.0455,19.11,7.45,27.582,7.36,7.79,6.5,3410000.0,615.0323
1992-01-13,3185.60009765625,1824.300048828125,2490.10009765625,1620.449951171875,3594.39990234375,4325.89990234375,617.6300048828125,21696.859375,19300000.0,0.0,0.0,0.0,263700.0,0.0,211900000.0,0.0,415.04998779296875,414.3399963378906,200270000.0,7.19000244140625,8.23,4.19,6.8,8.14,3.77,440000.0,4.06,4.74,-0.68087,6.147,6.01,9.05,2466.9217,18.41,7.43,27.535,7.36,7.79,6.5,3342000.0,614.2388
1992-01-20,3254.0,1865.9000244140625,2544.89990234375,1685.1400146484375,3655.699951171875,4510.5,619.3800048828125,20913.8203125,18190000.0,0.0,0.0,0.0,305200.0,0.0,209690000.0,0.0,418.8599853515625,416.3599853515625,180900000.0,7.8699951171875,8.45,4.01,7.04,8.2,3.81,443000.0,4.17,5.02,-0.67471,5.455,6.34,9.11,2482.4544,18.81,7.57,25.833,7.36,8.03,6.5,3297000.0,614.7461
1992-01-27,3240.60009765625,1869.300048828125,2539.89990234375,1686.7099609375,3628.5,4554.7001953125,621.0,21007.109375,19110000.0,0.0,0.0,0.0,233500.0,0.0,196450000.0,0.0,415.44000244140625,414.989990234375,190970000.0,8.459991455078125,8.56,3.87,7.14,8.22,3.77,441000.0,4.14,5.02,-0.66871,6.072,6.32,9.16,2485.0001,18.66,7.65,26.471,7.36,8.14,6.5,3364000.0,612.9025
1992-02-03,3234.10009765625,1857.0,2560.199951171875,1685.6600341796875,3594.39990234375,4672.10009765625,623.4299926757812,22139.58984375,18860000.0,0.0,0.0,0.0,249700.0,0.0,194610000.0,0.0,408.7900085449219,409.5299987792969,185290000.0,10.379974365234375,8.68,4.01,7.25,8.25,3.84,440000.0,4.23,5.14,-0.66533,8.853,6.41,9.2,2479.4654,19.05,7.74,21.911,7.36,8.28,6.5,3301000.0,612.8218
1992-02-10,3245.10009765625,1865.5999755859375,2538.39990234375,1683.72998046875,3608.5,4733.60009765625,634.1300048828125,21819.51953125,16100000.0,0.0,0.0,0.0,218800.0,0.0,191600000.0,0.0,411.07000732421875,413.7699890136719,184410000.0,8.720001220703125,8.67,4.17,7.25,8.25,3.81,445000.0,4.19,5.07,-0.66403,8.599,6.44,9.18,2492.7426,19.42,7.77,22.844,7.36,8.3,6.5,3320000.0,611.8072
1992-02-17,3246.0,1882.0999755859375,2541.0,1688.4599609375,3570.800048828125,4719.2001953125,636.4299926757812,21324.98046875,21260000.0,0.0,0.0,0.0,152800.0,0.0,206290000.0,0.0,413.69000244140625,412.4800109863281,215110000.0,10.03997802734375,8.73,3.93,7.31,8.27,3.76,446000.0,4.19,5.1,-0.66463,6.584,6.5,9.21,2484.6989,19.49,7.84,23.525,7.36,8.36,6.5,3260000.0,609.1062
1992-02-24,3282.39990234375,1976.5,2559.699951171875,1729.8599853515625,3543.300048828125,4715.60009765625,624.9299926757812,20973.240234375,17880000.0,0.0,0.0,0.0,266900.0,0.0,172920000.0,0.0,411.4599914550781,412.2699890136719,177540000.0,10.03997802734375,8.82,4.2,7.44,8.33,3.87,436000.0,4.37,5.32,-0.66495,5.874,6.7,9.29,2484.7378,18.62,7.94,26.702,7.36,8.43,6.5,3412000.0,609.5183
1992-03-02,3275.300048828125,1979.699951171875,2554.300048828125,1749.2900390625,3579.5,4952.2001953125,635.469970703125,21487.8203125,17220000.0,0.0,0.0,0.0,184400.0,0.0,176940000.0,0.0,412.67999267578125,412.45001220703125,180380000.0,8.050018310546875,8.83,3.96,7.37,8.31,3.94,444000.0,4.41,5.37,-0.66474,5.139,6.7,9.23,2476.675,18.51,7.88,25.325,7.36,8.44,6.5,3280000.0,609.2887
1992-03-09,3215.10009765625,1976.300048828125,2550.699951171875,1753.5,3518.60009765625,4848.60009765625,615.8200073242188,20797.6796875,16530000.0,0.0,0.0,0.0,208900.0,0.0,162120000.0,0.0,404.45001220703125,405.2099914550781,160650000.0,12.420013427734375,8.85,4.08,7.45,8.32,4.04,421000.0,4.55,5.53,-0.66414,5.563,6.79,9.21,2495.4725,18.55,7.92,26.462,7.36,8.48,6.5,3288000.0,610.0868
1992-03-16,3236.39990234375,1929.199951171875,2470.699951171875,1723.1300048828125,3444.10009765625,5059.89990234375,617.9400024414062,19837.16015625,15050000.0,0.0,0.0,0.0,307300.0,0.0,140850000.0,0.0,405.8500061035156,406.3900146484375,155950000.0,7.220001220703125,8.88,3.95,7.54,8.34,4.02,437000.0,4.64,5.66,-0.6641,5.245,6.91,9.23,2496.4083,18.76,7.97,28.724,7.36,8.51,6.5,3280000.0,608.3965
1992-03-23,3272.10009765625,1884.5999755859375,2441.0,1714.1700439453125,3443.699951171875,5061.10009765625,621.8300170898438,20239.599609375,15690000.0,0.0,0.0,0.0,271500.0,0.0,148860000.0,0.0,411.2900085449219,409.9100036621094,157050000.0,7.75,9.03,4.04,7.63,8.38,4.06,440000.0,4.73,5.84,-0.66773,5.906,7.08,9.31,2485.1546,19.1,8.03,29.5,7.36,8.69,6.5,3344000.0,605.9095
1992-03-30,3235.199951171875,1943.800048828125,2452.89990234375,1714.760009765625,3406.699951171875,4978.2998046875,602.0700073242188,19669.310546875,12640000.0,0.0,0.0,0.0,237300.0,0.0,154210000.0,0.0,403.5,403.0,133990000.0,8.55999755859375,8.98,3.94,7.56,8.36,4.03,420000.0,4.64,5.75,-0.67683,5.724,7.0,9.25,2503.1085,19.09,7.97,26.294,7.36,8.63,6.5,3336000.0,606.885
1992-04-06,3275.5,1974.800048828125,2400.89990234375,1738.780029296875,3386.0,4896.89990234375,596.2899780273438,18436.369140625,20110000.0,0.0,0.0,0.0,195700.0,0.0,153120000.0,0.0,401.5400085449219,405.5899963378906,179910000.0,9.649993896484375,8.96,4.09,7.49,8.35,4.01,412000.0,4.5,5.53,-0.69127,5.184,6.86,9.21,2516.2997,19.73,7.92,28.884,7.36,8.57,6.5,3383000.0,606.6154
1992-04-13,3269.89990234375,1963.300048828125,2591.0,1729.9599609375,3389.800048828125,4889.10009765625,588.1500244140625,17236.650390625,13220000.0,0.0,0.0,0.0,195900.0,0.0,128020000.0,0.0,404.2799987792969,406.0799865722656,143140000.0,13.66998291015625,8.84,3.98,7.4,8.32,3.8,413000.0,4.25,5.26,-0.71136,5.438,6.69,9.19,2483.4539,20.43,7.89,22.777,7.36,8.44,6.5,3288000.0,607.0043
